"key","message","comment","context"
"Teamwork","calisan Gruplari",,
"Messaging","Mesajlasma",,
"{{ ""HR manager"" }}","{{ ""ik Yoneticisi"" }}",,
"value:Timesheet Management","Deger: Zaman cizelgesi Yonetimi",,
"value:Leave Management","Deger: Ayrilma Yonetimi",,
"value:Extra hours","Deger: Ekstra Saatler",,
"value:Expense Management","Deger: Gider Yonetimi",,
"value:Employees Managment","Deger: calisanlar Yonetimi",,
"user group","Kullanici Grubu",,
"mobile phone","Cep Telefonu",,
"login name","Kullanici Adi",,
"http://www.url.com","Http://Www.Url.Com",,
"hr.department","insan Kaynaklari Departmani",,
"com.axelor.apps.hr.service.batch.HrBatchService","Com.Axelor.Apps.Hr.Service.Batch.Hrbatchservice",,
"amount","Tutar",,
"Zip code","Posta Kodu",,
"You now have a negative amount of leave available for the reason %s","Artik %S Nedeni icin Negatif Bir izniniz Var",,
"You must configure an expenses journal(company : %s)","Bir Gider Dergisi (sirket: %S) Yapilandirmalisiniz",,
"You must configure an expenses account (company : %s)","Bir Gider Hesabi Yapilandirmalisiniz (sirket: %S)",,
"You must configure an account for expenses taxes (company : %s)","Gider Vergileri icin Bir Hesap Yapilandirmalisiniz (sirket: %S)",,
"You must choose a template.","Bir sablon Secmelisiniz.",,
"You must be a HR manager to have the permission to do this.","Bunu Yapma iznine Sahip Olmak icin ik Yoneticisi Olmalisiniz.",,
"You have to choose at least one timesheet","En Az Bir Zaman cizelgesi Secmelisiniz",,
"You are not able to take leave in advance for the reason '%s'.","%S' Nedeni icin onceden izin Alamazsiniz.",,
"Yes","Evet",,
"Year","Yil",,
"Working time modification","calisma Suresi Modifikasyonu",,
"Working status","calisma Durumu",,
"Working days' number","is Gunleri Numarasi",,
"Working card serial","calisma Karti Dizisi",,
"Working card No","calisma Karti No",,
"Working card","calisma Karti",,
"Work phones","is Telefonlari",,
"Work mobile phone","Cep Telefonu is",,
"Work hours","calisma Saatleri",,
"Work fixed phone","is Sabit Telefon",,
"Work Telephone No","is Telefonu Hayir",,
"Work Permission","calisma izni",,
"Work Address","is Adresi",,
"Woman","Kadin",,
"Withdrawn cash","Geri cekilen Nakit",,
"Weight","Agirlik",,
"Weekly work hours","Haftalik calisma Saatleri",,
"Weekly work duration","Haftalik calisma Suresi",,
"Weekly planning","Haftalik Planlama",,
"Weekly duration","Haftalik Sure",,
"Weekly Planning","Haftalik Planlama",,
"Wednesday","carsamba",,
"Waiting validation","Bekleme Dogrulamasi",,
"Waiting for validation","Dogrulama Beklemek",,
"Waiting Timesheet lines","Bekleyen Zaman cizelgesi cizgileri",,
"Visa No","Vize Numarasi",,
"Visa Days","Vize Gunleri",,
"Visa Date of issue","Vize Verilis Tarihi",,
"Visa Date of expiry","Vize Gecerlilik Tarihi",,
"Visa","Vize",,
"Ventilated","Havalandirilmis",,
"Ventilate","Havalandirmak",,
"Vehicles","Araclar",,
"Vehicle Model","Arac Modeli",,
"Vehicle Make","Arac Markasi",,
"Vehicle","Arac",,
"Value","Deger",,
"Validation Date","Gecerlilik Tarihi",,
"Validated by","Tarafindan Onaylanmis",,
"Validated Timesheet lines","Dogrulanmis Zaman cizelgesi cizgileri",,
"Validated Timesheet Template","Dogrulanmis Zaman cizelgesi sablonu",,
"Validated Leave Request Template","Onaylanmis izin istegi sablonu",,
"Validated Extra Hours Template","Dogrulanmis Ekstra Saat sablonu",,
"Validated Expense Template","Dogrulanmis Gider sablonu",,
"Validated","Onaylanmis",,
"Validate the advance","ilerlemeyi Dogrulayin",,
"Validate","Dogrulamak",,
"VOIE","Voie",,
"VNJ","Vnj",,
"VILLE","Ville",,
"Users","Kullanicilar",,
"User to be reminded","Hatirlanacak Kullanici",,
"User creation","Kullanici Olusturma",,
"User","Kullanici",,
"Used amount","Kullanilan Miktar",,
"Use weekly plannning coef.","Haftalik Planlama Koefini Kullanin.",,
"Use unique product for timesheet","Zaman cizelgesi icin Benzersiz urun Kullanin",,
"Use line's Activity","Line'in Etkinligini Kullanin",,
"Use employee's Activity","calisanin Etkinligini Kullanin",,
"Update to invoice","Faturaya Guncelleme",,
"Update include in turonver forecast","Guncelleme Turonver Tahmininde Yer Aliyor",,
"Update date","Guncelleme Tarihi",,
"Untaxed amount","Vergilendirilmemis Miktar",,
"Unit","Birim",,
