"key","message","comment","context"
"%s project","проект %s",,
"0 %",,,
"1 week",,,
"10 %",,,
"100 %",,,
"2 weeks",,,
"20 %",,,
"3 weeks",,,
"30 %",,,
"40 %",,,
"50 %",,,
"60 %",,,
"70 %",,,
"80 %",,,
"90 %",,,
"<< Previous",,,
"Accept Order",,,
"Actions","Действия",,
"Active",,,
"Activities",,,
"Activity",,,
"Add Section",,,
"Add Subtask",,,
"Add Task",,,
"Add multiple lines","Добавить несколько строк",,
"Add selected lines","Добавить выбранные строки",,
"Add tags",,,
"Added by",,,
"All completed tasks",,,
"All open tasks",,,
"All tasks","Все задачи",,
"Alphabetical",,,
"Analytic",,,
"Announcement",,,
"App",,,
"App project","Проект приложений",,
"Apply modifications to next tasks",,,
"Assigned to","Назначенный",,
"Assignee",,,
"Assigning to the customer",,,
"Assigning to the provider",,,
"Attrs",,,
"Bank Account",,,
"Bank accounts",,,
"Book resource","Бронировочный ресурс",,
"Business","Бизнес",,
"Business project","Бизнес-проект",,
"Calendar",,,
"Cancel","Отмена",,
"Cannot delete section with tasks",,,
"Cash Account",,,
"Cash accounts",,,
"Categories?",,,
"Category","Категория",,
"Characteristics","Характеристики",,
"Check availability of resources",,,
"Client partner",,,
"Close topic",,,
"Closed",,,
"Code","Код",,
"Company","Компания",,
"Completed ?",,,
"Completed tasks",,,
"Configuration","Конфигурация",,
"Configurations","Конфигурации",,
"Consolidate sub project when invoicing",,,
"Content","Содержание",,
"Context project",,,
"Contracts",,,
"Convert Task to Project",,,
"Convert to project",,,
"Copied to clipboard",,,
"Copy task link",,,
"Copy task name",,,
"Create New Task",,,
"Create business project from this template",,,
"Create invoicing project","Создать проект выставления счетов",,
"Create new customer contract",,,
"Create new supplier contract",,,
"Create project from this template",,,
"Currency","Валюта",,
"Current project",,,
"Custom field",,,
"Custom fields",,,
"Customer","Клиент",,
"Customer Contact","Контакт с клиентом",,
"Customer Invoice lines","Счета-фактуры клиентов",,
"Customer contracts",,,
"Daily planned charge in a month in an average per employee",,,
"Daily planned charge in a month per employee",,,
"Daily planned charge in a month per project",,,
"Date",,,
"Date or frequency changed",,,
"Dates","Даты",,
"Deadline","Крайний срок",,
"Deadline Today","Крайний срок Сегодня",,
"Deadline Tomorrow","Крайний срок - завтра.",,
"Deadline Yesterday","Крайний срок Вчерашний день",,
"Decimal",,,
"Default completed",,,
"Default priorities",,,
"Default task status",,,
"Delay to start (Hours)","Задержка начала работы (в часах)",,
"Delete Permanently",,,
"Delete Section",,,
"Delete Task",,,
"Delete task btn",,,
"Department",,,
"Description","Описание",,
"Details",,,
"Due Date","Срок выполнения",,
"Due next week",,,
"Due this week",,,
"Duplicate task",,,
"Duration (Hours)","Продолжительность (часы)",,
"Duration hours","Продолжительность часов",,
"Employee",,,
"Enable Gantt view",,,
"Enable Kanban view per section",,,
"Enable Kanban view per status",,,
"Enable calendar view per section",,,
"Enable calendar view per status",,,
"Enable calendar view per user",,,
