"key","message","comment","context"
"50 Latest Supplier Orders","50 Laatste bestellingen van leveranciers",,
"A tax line is missing","Er ontbreekt een fiscale lijn",,
"ABC analysis",,,
"ATI","ATI",,
"AbcAnalysis.endDate",,,
"AbcAnalysis.startDate",,,
"Accept","Keur goed",,
"Accepted","Aanvaard",,
"Accepted and Order",,,
"Accepted and Send Order",,,
"Actions","Acties",,
"Add","Toevoegen",,
"Advance payment A.T.I. total",,,
"Advance payment total",,,
"All Paid",,,
"Amount","Bedrag",,
"Amount A.T.I.","Bedrag A.T.I.",,
"Amount Tax",,,
"Amount invoiced W.T.","Bedrag gefactureerd W.T.",,
"Amount to be spread over the timetable","Bedrag te verdelen over de dienstregeling",,
"Analytic distribution",,,
"Analytic distribution required on purchase order line",,,
"Analytics","Analytics",,
"App",,,
"App purchase","Aankoop van een app",,
"App purchase request",,,
"Apply to all","Van toepassing op alle",,
"Back to validated order",,,
"Bank",,,
"Bank Account",,,
"Base W.T.","Basis W.T.",,
"Budget","Begroting",,
"Budget distribution","Verdeling van het budget",,
"Business Project","Bedrijfsproject",,
"Business project","Bedrijfsproject",,
"Buyer","Koper",,
"Calculated price/Qty","Berekende prijs/Qty",,
"Can not cancel already canceled purchase request.",,,
"Can only accept requested purchase request.",,,
"Can only cancel drafted, requested or validated purchase order.",,,
"Can only finish validated purchase order.",,,
"Can only purchase accepted purchase request.",,,
"Can only refuse requested purchase request.",,,
"Can only request drafted purchase order.",,,
"Can only request drafted purchase request.",,,
"Can only return to draft from canceled purchase request.",,,
"Can only return to draft from cancelled purchase order.",,,
"Can only validate requested purchase order.",,,
"Cancel","Annuleren",,
"Cancel receipt","Ontvangstbewijs annuleren",,
"Canceled","Geannuleerd",,
"Cash",,,
"Cash Account",,,
"Characteristics","Kenmerken",,
"ChartPO.saleOrder",,,
"Closed Purchase orders","Gesloten Inkooporders",,
"Code",,,
"Comments",,,
"Company","Bedrijf",,
"Company bank","Bedrijfsbank",,
"Configuration","Configuratie",,
"Confirm","Bevestigen",,
"Confirm merge purchase order",,,
"Confirmation","Bevestiging",,
"Contact","Contact",,
"Contact partner","Contactpersoon",,
"Contacts","Contacten",,
"Content","Inhoud",,
"Currency","Valuta",,
"Current purchase quotations / orders",,,
"Customer specific note",,,
"Dashboard","Dashboard",,
"Dates","Data",,
"Decription",,,
"Default unit",,,
"Delivery","Levering",,
"Delivery cost",,,
"Delivery time",,,
"Description","Beschrijving",,
"Description To Display","Beschrijving Om weer te geven",,
"Desired receipt date",,,
"Discount amount","Korting bedrag",,
"Discount rate","Disconteringsvoet",,
"Discount type","Type korting",,
"Display buyer on printing","Vertoningskoper op druk",,
"Display price on requested purchase printing","Weergave prijs op de gevraagde aankoop afdrukken",,
"Display product code on printing","Toon productcode op afdrukken",,
"Display product detail on printing","Productdetails weergeven bij het afdrukken",,
"Display purchase order line number",,,
"Display supplier code on printing",,,
"Display tax detail on printing","Belastingdetails bij het afdrukken weergeven",,
"Displayed Product name","Weergegeven productnaam",,
"Draft","Ontwerp",,
"Enable product description copy","Productbeschrijvingskopie inschakelen",,
"End date",,,
"Estim. receipt date",,,
"Estimated receipt date",,,
"Filter on supplier","Filter op leverancier",,
"Filter products by trading name",,,
"Finish the order","Voltooi de bestelling",,
"Finished","Afgewerkt",,
"Fiscal position",,,
"Fixed Assets","Vaste activa",,
"Follow-up","Follow-up",,
"Freeze fields",,,
"From Date","Vanaf datum",,
"Full name","Volledige naam",,
"Generate PO","PO genereren",,
"Generate control invoice","Genereer een controlefactuur",,
"Generate purchase configurations","Aankoopconfiguraties genereren",,
"Generate supplier arrival","Genereer leveranciersaankomst",,
"Generate suppliers requests","Genereer verzoeken van leveranciers",,
"Group by product","Groep per product",,
"Group by supplier","Groep per leverancier",,
"Group products on printings",,,
"Historical","Historisch",,
"Historical Period","Historische periode",,
"In ATI","In ATI",,
"In Stock Moves","Op voorraad Verhuizingen",,
"Information","Informatie",,
"Internal Note","Interne nota",,
"Internal Ref.","Intern Ref.",,
"Internal note","Interne nota",,
"Internal purchase requests",,,
"Invoice Lines","Factuurlijnen",,
"Invoiced","Gefactureerd",,
"Invoices","Facturen",,
"Invoicing","Facturatie",,
"Is Payment Done",,,
"Last update","Laatste update",,
"Manage multiple purchase quantity","Beheer meerdere aankoophoeveelheden",,
"Manage purchase order versions","Aankooporderversies beheren",,
"Manage purchases unit on products","Beheer van aankopen op producten",,
"Manage supplier catalog","Beheer leverancierscatalogus",,
"Maps",,,
"Max purchase price",,,
"Merge into single purchase order","Samenvoegen tot één aankooporder",,
"Merge purchase orders","Inkooporders samenvoegen",,
