"key","message","comment","context"
"50 Latest Supplier Orders","50 Najnowsze zamówienia od dostawców",,
"A tax line is missing","Brakuje linii podatkowej",,
"ABC analysis",,,
"ATI","ATI",,
"AbcAnalysis.endDate",,,
"AbcAnalysis.startDate",,,
"Accept","Akceptacja",,
"Accepted","Przyjęty",,
"Accepted and Order",,,
"Accepted and Send Order",,,
"Actions","Działania",,
"Add","Dodaj",,
"Advance payment A.T.I. total",,,
"Advance payment total",,,
"All Paid",,,
"Amount","Kwota",,
"Amount A.T.I.","Kwota A.T.I.",,
"Amount Tax",,,
"Amount invoiced W.T.","Kwota zafakturowana W.T.",,
"Amount to be spread over the timetable","Kwota, która ma być rozłożona na cały rozkład jazdy",,
"Analytic distribution",,,
"Analytic distribution required on purchase order line",,,
"Analytics","Analityka",,
"App",,,
"App purchase","Zakup aplikacji",,
"App purchase request",,,
"Apply to all","Stosuje się do wszystkich",,
"Back to validated order",,,
"Bank",,,
"Bank Account",,,
"Base W.T.","Podstawa W.T.",,
"Budget","Budżet",,
"Budget distribution","Podział budżetu",,
"Business Project","Projekt biznesowy",,
"Business project","Projekt biznesowy",,
"Buyer","Kupujący",,
"Calculated price/Qty","Obliczona cena/kwota",,
"Can not cancel already canceled purchase request.",,,
"Can only accept requested purchase request.",,,
"Can only cancel drafted, requested or validated purchase order.",,,
"Can only finish validated purchase order.",,,
"Can only purchase accepted purchase request.",,,
"Can only refuse requested purchase request.",,,
"Can only request drafted purchase order.",,,
"Can only request drafted purchase request.",,,
"Can only return to draft from canceled purchase request.",,,
"Can only return to draft from cancelled purchase order.",,,
"Can only validate requested purchase order.",,,
"Cancel","Anulowanie",,
"Cancel receipt","Anulowanie paragonu",,
"Canceled","Anulowany",,
"Cash",,,
"Cash Account",,,
"Characteristics","Charakterystyka",,
"ChartPO.saleOrder",,,
"Closed Purchase orders","Zamknięte zamówienia zakupu",,
"Code",,,
"Comments",,,
"Company","Firma",,
"Company bank","Bank przedsiębiorstw",,
"Configuration","Konfiguracja",,
"Confirm","Potwierdź",,
"Confirm merge purchase order",,,
"Confirmation","Potwierdzenie",,
"Contact","Kontakt",,
"Contact partner","Kontakt z partnerem",,
"Contacts","Kontakty",,
"Content","Zawartość",,
"Currency","Waluta",,
"Current purchase quotations / orders",,,
"Customer specific note",,,
"Dashboard","Tablica rozdzielcza",,
"Dates","Daty",,
"Decription",,,
"Default unit",,,
"Delivery","Dostawa",,
"Delivery cost",,,
"Delivery time",,,
"Description","Opis",,
"Description To Display","Opis Do wyświetlania",,
"Desired receipt date",,,
"Discount amount","Kwota rabatu",,
"Discount rate","Stopa dyskontowa",,
"Discount type","Typ rabatu",,
"Display buyer on printing","Wyświetl kupującego na wydruku",,
"Display price on requested purchase printing","Cena wyświetlana na zamówionym druku",,
"Display product code on printing","Wyświetlanie kodu produktu na wydruku",,
"Display product detail on printing","Wyświetl szczegóły produktu na wydruku",,
"Display purchase order line number",,,
"Display supplier code on printing",,,
"Display tax detail on printing","Wyświetl szczegóły dotyczące podatku przy drukowaniu",,
"Displayed Product name","Wyświetlana nazwa produktu",,
"Draft","Wstępny projekt",,
"Enable product description copy","Włączyć kopię opisu produktu",,
"End date",,,
"Estim. receipt date","Date de réception estimée",,
"Estimated receipt date",,,
"Filter on supplier","Filtr u dostawcy",,
"Filter products by trading name",,,
"Finish the order","Zakończyć zamówienie",,
"Finished","Gotowe",,
"Fiscal position",,,
"Fixed Assets","Środki trwałe",,
"Follow-up","Działania następcze",,
"Freeze fields",,,
"From Date","Od daty",,
"Full name","Pełne imię i nazwisko",,
"Generate PO","Generowanie PO",,
"Generate control invoice","Generowanie faktury kontrolnej",,
"Generate purchase configurations","Generowanie konfiguracji zakupu",,
"Generate supplier arrival","Generowanie przyjazdu dostawcy",,
"Generate suppliers requests","Generowanie zapytań od dostawców",,
"Group by product","Grupa według produktów",,
"Group by supplier","Grupa według dostawców",,
"Group products on printings",,,
"Historical","Historyczny",,
"Historical Period","Okres historyczny",,
"In ATI","W ATI",,
"In Stock Moves","W magazynie Roves",,
"Information","Informacje",,
